id,len,0,1,2,3,4,5,6,7,time
0000040C,8,14,00,00,02,93,00,00,00,237.505450
0000040C,8,15,00,00,09,B4,00,00,00,237.506550
0000040F,8,15,00,00,00,00,00,00,00,237.507490
00000410,8,02,00,00,00,00,00,00,00,237.508520
000003FF,8,06,00,00,54,DD,00,00,00,237.509540
000003FF,8,07,00,00,0D,98,00,00,00,237.510570
000003FF,8,08,00,00,10,E0,00,00,00,237.511500
00000403,8,0B,00,00,00,00,00,00,00,237.512530
000003FF,8,05,00,00,56,B8,00,00,00,237.513550
000003E9,8,14,00,00,00,00,00,00,00,237.542310
000003E9,8,17,00,01,5A,C7,00,00,00,237.547000
000003FF,8,05,00,00,56,BC,00,00,00,237.611510
00000722,8,FF,63,02,01,21,01,08,0A,237.642230
000003F6,8,18,60,00,00,00,00,00,00,237.662030
000003FF,8,05,00,00,56,BF,00,00,00,237.710500
000003E9,8,17,00,01,5B,50,00,00,00,237.742420
000003ED,8,00,00,00,19,F6,00,00,00,237.747110
000003EE,8,00,00,00,0C,8F,00,00,00,237.752060
000003FE,8,08,00,00,00,01,00,00,00,237.800440
00000405,8,16,00,00,AE,C3,00,00,00,237.801470
000003FE,8,11,00,00,02,93,00,00,00,237.802410
000003FE,8,12,00,00,09,B4,00,00,00,237.803510
0000040B,8,17,02,AA,AD,A0,00,00,00,237.804450
0000040C,8,14,00,00,02,6D,00,00,00,237.805390
0000040C,8,15,00,00,09,B4,00,00,00,237.806500
0000040F,8,15,00,00,00,01,00,00,00,237.807440
000003FF,8,06,00,00,54,D8,00,00,00,237.808460
000003FF,8,07,00,00,0D,A2,00,00,00,237.809490
000003FF,8,08,00,00,10,D6,00,00,00,237.810510
00000404,8,09,00,00,00,01,00,00,00,237.811540
0000040E,8,0A,00,00,00,30,00,00,00,237.812470
00000410,8,07,00,00,00,01,00,00,00,237.813500
000003FF,8,05,00,00,56,BE,00,00,00,237.814520
000007BE,8,00,04,2D,21,01,08,00,00,237.842260
000003F6,8,18,64,00,00,00,00,00,00,237.862050
000003FF,8,05,00,00,56,BC,00,00,00,237.920420
000003E9,8,17,00,01,5B,DA,00,00,00,237.942270
000003F0,8,0B,01,05,20,35,00,00,00,237.947050
000007C0,8,00,04,3A,01,03,00,00,00,237.950460
000007BD,8,00,04,3A,00,00,00,00,00,237.951480
000003F6,8,18,68,00,00,00,00,00,00,238.062070
000003FF,8,0B,00,00,00,01,00,00,00,238.109430
000003FE,8,08,00,00,00,00,00,00,00,238.110460
00000405,8,16,00,00,AE,A5,00,00,00,238.111400
000003FE,8,11,00,00,02,6D,00,00,00,238.112420
000003FE,8,12,00,00,09,66,00,00,00,238.113450
0000040B,8,17,02,AA,38,70,00,00,00,238.114380
0000040C,8,14,00,00,02,93,00,00,00,238.115410
0000040C,8,15,00,00,09,B4,00,00,00,238.116430
0000040F,8,15,00,00,00,00,00,00,00,238.117460
000003FF,8,06,00,00,54,D4,00,00,00,238.118390
000003FF,8,07,00,00,0D,98,00,00,00,238.119420
000003FF,8,08,00,00,10,E0,00,00,00,238.120440
0000040D,8,15,00,00,00,DE,00,00,00,238.121470
000003FF,8,05,00,00,56,BE,00,00,00,238.122410
00000722,8,FF,63,02,01,21,01,08,0A,238.142290
000003EA,8,18,00,00,00,DE,00,00,00,238.143230
000003E9,8,17,00,01,5A,C7,00,00,00,238.144250
000003F6,8,18,6C,00,00,00,00,00,00,238.262100
000003FF,8,05,00,00,56,BC,00,00,00,238.322430
000007BE,8,00,04,2D,21,01,08,00,00,238.342310
000003E9,8,17,00,01,5B,DA,00,00,00,238.343250
000003F0,8,0B,01,06,20,20,00,00,00,238.347090
00000405,8,16,00,00,AE,91,00,00,00,238.421330
000003FE,8,11,00,00,02,93,00,00,00,238.422350
000003FE,8,12,00,00,09,B4,00,00,00,238.423290
0000040B,8,17,02,A9,C3,40,00,00,00,238.424400
0000040C,8,14,00,00,02,6D,00,00,00,238.425340
0000040C,8,15,00,00,09,B4,00,00,00,238.426360
00000410,8,01,00,00,00,00,00,00,00,238.427470
000003FF,8,06,00,00,54,D6,00,00,00,238.428410
000003FF,8,07,00,00,0D,8E,00,00,00,238.429430
000003FF,8,08,00,00,10,D6,00,00,00,238.430370
00000404,8,09,00,00,00,00,00,00,00,238.431400
00000410,8,07,00,00,00,00,00,00,00,238.432420
000003FF,8,05,00,00,56,BD,00,00,00,238.433360
000007C0,8,00,04,3A,01,03,00,00,00,238.451370
000007BD,8,00,04,3A,00,00,00,00,00,238.452390
000003F6,8,18,70,00,00,00,00,00,00,238.462030
000003FF,8,05,00,00,56,BB,00,00,00,238.541390
000003E9,8,17,00,01,5A,C7,00,00,00,238.542330
000003FF,8,05,00,00,56,BD,00,00,00,238.640460
00000722,8,FF,63,02,01,21,01,08,0A,238.642260
000003F6,8,18,74,00,00,00,00,00,00,238.662050
000003FF,8,0B,00,00,00,00,00,00,00,238.730410
00000405,8,16,00,00,AE,73,00,00,00,238.733310
000003FE,8,11,00,00,02,6D,00,00,00,238.734330
000003FE,8,12,00,00,09,66,00,00,00,238.735270
0000040B,8,17,02,A9,75,20,00,00,00,238.736380
0000040C,8,15,00,00,09,66,00,00,00,238.737320
000003FF,8,06,00,00,54,D7,00,00,00,238.738340
000003FF,8,07,00,00,0D,98,00,00,00,238.739370
000003FF,8,08,00,00,10,D6,00,00,00,238.740390
00000404,8,00,00,00,17,70,00,00,00,238.741330
000003E9,8,17,00,01,5A,3D,00,00,00,238.742440
00000410,8,0E,00,00,17,70,00,00,00,238.743380
000003FF,8,05,00,00,56,BE,00,00,00,238.744400
000003F1,8,02,00,00,00,00,00,00,00,238.747050
000003ED,8,00,00,00,19,F8,00,00,00,238.752080
000007BE,8,00,04,2D,21,01,08,00,00,238.842280
000003F6,8,18,78,00,00,00,00,00,00,238.862070
000003F0,8,0B,01,07,20,20,00,00,00,238.942290
000007C0,8,00,04,3A,01,03,00,00,00,238.949370
000007BD,8,00,04,3A,00,00,00,00,00,238.950310
000003FF,8,05,00,00,56,C0,00,00,00,239.039310
000003FF,8,18,00,00,17,70,00,00,00,239.040340
00000405,8,16,00,00,AE,55,00,00,00,239.041270
000003FE,8,11,00,00,02,93,00,00,00,239.042300
000003FE,8,12,00,00,09,B4,00,00,00,239.043320
0000040B,8,17,02,A8,FF,F0,00,00,00,239.044260
0000040C,8,14,00,00,02,93,00,00,00,239.045290
0000040C,8,15,00,00,09,B4,00,00,00,239.046310
000003FF,8,06,00,00,54,D4,00,00,00,239.047250
000003FF,8,07,00,00,0D,98,00,00,00,239.048440
000003FF,8,08,00,00,10,D6,00,00,00,239.049380
00000405,8,17,00,00,11,4E,00,00,00,239.050410
000003F6,8,18,7C,00,00,00,00,00,00,239.062100
000003FF,8,05,00,00,56,BF,00,00,00,239.141290
00000722,8,FF,63,02,01,21,01,08,0A,239.142310
000003EA,8,18,00,00,02,58,00,00,00,239.143330
000003E9,8,05,FF,FF,FF,58,00,00,00,239.144360
000003FF,8,05,00,00,56,C0,00,00,00,239.249320
000003F6,8,18,80,00,00,00,00,00,00,239.262120
000007BE,8,00,04,2D,21,01,08,00,00,239.342330
000003E9,8,05,FF,FF,FF,54,00,00,00,239.343270
000003F0,8,0B,01,08,20,20,00,00,00,239.347110
000003FF,8,05,00,00,56,BB,00,00,00,239.351290
00000405,8,16,00,00,AE,37,00,00,00,239.352230
000003FE,8,11,00,00,02,6D,00,00,00,239.353250
0000040B,8,17,02,A8,8A,C0,00,00,00,239.354360
0000040C,8,14,00,00,02,93,00,00,00,239.355300
000003FF,8,06,00,00,54,CF,00,00,00,239.356330
000003FF,8,07,00,00,0D,98,00,00,00,239.357260
000003FF,8,08,00,00,10,E0,00,00,00,239.358290
000007C0,8,00,04,3A,01,03,00,00,00,239.450280
000007BD,8,00,04,3A,00,00,00,00,00,239.451220
000003FF,8,05,00,00,56,BF,00,00,00,239.452240
000003F6,8,18,84,00,00,00,00,00,00,239.462050
000003FF,8,05,00,00,56,C1,00,00,00,239.552250
00000745,8,00,1C,00,04,00,01,00,00,239.555240
00000722,8,FF,63,02,01,21,01,08,0A,239.642280
000003FF,8,05,00,00,56,C0,00,00,00,239.660280
00000405,8,16,00,00,AE,23,00,00,00,239.661310
000003F6,8,18,88,00,00,00,00,00,00,239.662250
000003FE,8,11,00,00,02,6D,00,00,00,239.663270
0000040B,8,17,02,A8,15,90,00,00,00,239.664210
0000040C,8,14,00,00,02,6D,00,00,00,239.665150
000003FF,8,06,00,00,54,D4,00,00,00,239.666170
000003FF,8,07,00,00,0D,98,00,00,00,239.667190
000003FF,8,08,00,00,10,E0,00,00,00,239.668130
00000403,8,09,00,00,00,02,00,00,00,239.669160
000003ED,8,00,00,00,19,F9,00,00,00,239.742460
000003ED,8,0E,00,00,1A,65,00,00,00,239.747070
000007BE,8,00,04,2D,21,01,08,00,00,239.842300
000003FF,8,05,00,00,56,C2,00,00,00,239.861160
000003F6,8,18,8C,00,00,00,00,00,00,239.862180
000003E9,8,17,00,01,5B,50,00,00,00,239.942310
000003F0,8,0B,01,09,20,20,00,00,00,239.947090
000007C0,8,00,04,3A,01,03,00,00,00,239.951180
000007BD,8,00,04,3A,00,00,00,00,00,239.952210
000003FF,8,05,00,00,56,C1,00,00,00,239.960140
00000405,8,16,00,00,AE,05,00,00,00,239.969190
000003FE,8,11,00,00,02,6D,00,00,00,239.970130
000003FE,8,12,00,00,09,66,00,00,00,239.971150
0000040B,8,17,02,A7,C7,70,00,00,00,239.972180
0000040C,8,14,00,00,02,6D,00,00,00,239.973110
0000040C,8,15,00,00,09,66,00,00,00,239.974140
000003FF,8,06,00,00,54,D6,00,00,00,239.975160
000003FF,8,07,00,00,0D,8E,00,00,00,239.976190
000003FF,8,08,00,00,10,D6,00,00,00,239.977130
00000403,8,11,00,06,00,00,00,00,00,239.978150
0000040D,8,15,00,00,02,58,00,00,00,239.979170
000003F6,8,18,90,00,00,00,00,00,00,240.062120
000003FF,8,05,00,00,56,BE,00,00,00,240.071160
00000722,8,FF,63,02,01,21,01,08,0A,240.142330
000003EA,8,18,00,00,00,CE,00,00,00,240.143350
000003FF,8,05,00,00,56,BF,00,00,00,240.170230
000003F6,8,18,94,00,00,00,00,00,00,240.262140
000003FF,8,05,00,00,56,C0,00,00,00,240.269140
000003FE,8,08,00,00,00,01,00,00,00,240.281170
00000405,8,16,00,00,AD,E7,00,00,00,240.282110
000003FE,8,11,00,00,02,6D,00,00,00,240.283050
000003FE,8,12,00,00,09,B4,00,00,00,240.284150
0000040B,8,17,02,A7,52,40,00,00,00,240.285090
0000040C,8,14,00,00,02,6D,00,00,00,240.286120
0000040C,8,15,00,00,09,B4,00,00,00,240.287140
000003FF,8,06,00,00,54,DA,00,00,00,240.288170
000003FF,8,07,00,00,0D,8E,00,00,00,240.289100
000003FF,8,08,00,00,10,E0,00,00,00,240.290130
00000403,8,12,00,00,08,04,00,00,00,240.291150
000007BE,8,00,04,2D,21,01,08,00,00,240.342350
000003E9,8,05,FF,FF,FF,58,00,00,00,240.343380
000003E9,8,17,00,01,5A,C7,00,00,00,240.347130
000003F0,8,0B,01,0A,20,20,00,00,00,240.352080
000003FF,8,05,00,00,56,BC,00,00,00,240.371110
000007C0,8,00,04,3A,01,03,00,00,00,240.449100
000007BD,8,00,04,3A,00,00,00,00,00,240.450130
000003F6,8,18,98,00,00,00,00,00,00,240.462070
000003FF,8,05,00,00,56,BB,00,00,00,240.479140
000003E9,8,05,FF,FF,FF,54,00,00,00,240.542370
